layer	kind	metric	mean	n
35	k:counterfactual_rationale	wrong_delta_norm	54.68246215820312	50
35	k:dependency_swap	correct_correct_cosine	0.6880097546180091	50
35	k:dependency_swap	correct_delta_norm	39.6321928024292	50
35	k:dependency_swap	correct_wrong_cosine	0.6718697014451027	50
35	k:dependency_swap	cosine_margin	0.016140053172906243	50
35	k:dependency_swap	mean_delta_effective_rank	29.486498641967774	50
35	k:dependency_swap	mean_delta_rank90	42.46	50
35	k:dependency_swap	wrong_delta_norm	53.510617065429685	50
35	k:locally_corrupted	correct_correct_cosine	0.6880097546180091	50
35	k:locally_corrupted	correct_delta_norm	39.6321928024292	50
35	k:locally_corrupted	correct_wrong_cosine	0.6705023090541363	50
35	k:locally_corrupted	cosine_margin	0.01750744556387266	50
35	k:locally_corrupted	mean_delta_effective_rank	29.486498641967774	50
35	k:locally_corrupted	mean_delta_rank90	42.46	50
35	k:locally_corrupted	wrong_delta_norm	54.68990501403809	50
35	v:counterfactual_rationale	correct_correct_cosine	0.6888041357199353	50
35	v:counterfactual_rationale	correct_delta_norm	40.66549129486084	50
35	v:counterfactual_rationale	correct_wrong_cosine	0.6649876303970814	50
35	v:counterfactual_rationale	cosine_margin	0.023816505322853728	50
35	v:counterfactual_rationale	mean_delta_effective_rank	38.37095119476319	50
35	v:counterfactual_rationale	mean_delta_rank90	51.24	50
35	v:counterfactual_rationale	wrong_delta_norm	53.82148735046387	50
35	v:dependency_swap	correct_correct_cosine	0.6888041357199353	50
35	v:dependency_swap	correct_delta_norm	40.66549129486084	50
35	v:dependency_swap	correct_wrong_cosine	0.6667646089196205	50
35	v:dependency_swap	cosine_margin	0.02203952680031458	50
35	v:dependency_swap	mean_delta_effective_rank	38.37095119476319	50
35	v:dependency_swap	mean_delta_rank90	51.24	50
35	v:dependency_swap	wrong_delta_norm	52.80363388061524	50
35	v:locally_corrupted	correct_correct_cosine	0.6888041357199353	50
35	v:locally_corrupted	correct_delta_norm	40.66549129486084	50
35	v:locally_corrupted	correct_wrong_cosine	0.6661579260230064	50
35	v:locally_corrupted	cosine_margin	0.022646209696928665	50
35	v:locally_corrupted	mean_delta_effective_rank	38.37095119476319	50
35	v:locally_corrupted	mean_delta_rank90	51.24	50
35	v:locally_corrupted	wrong_delta_norm	53.81305198669433	50
