layer	condition	metric	mean	ci_low	ci_high	n
25	dependency_swap:alpha=1:window=4	correct_logp	-0.6233305743447056	-0.6590538684140753	-0.5865244801639131	108
25	dependency_swap:alpha=1:window=4	necessity_change	0.00076899912070345	-0.000366467848006222	0.001878399860665754	108
25	dependency_swap:alpha=1:window=4	necessity_logp	-0.6225615752240022	-0.6594060136212242	-0.5862891797976637	108
25	dependency_swap:alpha=1:window=4	paired_logp_gap	0.04172457133730253	0.03123221824773484	0.05384765610581747	108
25	dependency_swap:alpha=1:window=4	random_gain	-8.224157823456658e-05	-0.00088813877147105	0.0007812329740435985	108
25	dependency_swap:alpha=1:window=4	rescue_gain	-0.000718740815365756	-0.0016953127769132456	0.00032897047974445173	108
25	dependency_swap:alpha=1:window=4	rescue_logp	-0.6657738864973739	-0.704303772057648	-0.6259892365550277	108
25	dependency_swap:alpha=1:window=4	residual_norm	13.67968448223891	11.911674996934554	15.618494268037653	108
25	dependency_swap:alpha=1:window=8	control_logp	-0.6650551456820082	-0.7043814043824871	-0.626645743139778	108
25	dependency_swap:alpha=1:window=8	correct_logp	-0.6233305743447056	-0.6592509751277114	-0.5876661586057809	108
25	dependency_swap:alpha=1:window=8	necessity_change	0.0017586782298706196	0.0003726398710299421	0.003150285918403554	108
25	dependency_swap:alpha=1:window=8	necessity_logp	-0.621571896114835	-0.6579215380190699	-0.585225234573914	108
25	dependency_swap:alpha=1:window=8	paired_logp_gap	0.04172457133730253	0.030989520224156204	0.05329730129214349	108
25	dependency_swap:alpha=1:window=8	random_gain	0.00013208996366571496	-0.0007410030605064498	0.0009831477611981047	108
25	dependency_swap:alpha=1:window=8	rescue_gain	-0.0017951940772710023	-0.003131644579547423	-0.0005244784815995783	108
25	dependency_swap:alpha=1:window=8	rescue_logp	-0.6668503397592792	-0.7052192691368637	-0.6268208838309404	108
25	dependency_swap:alpha=1:window=8	residual_norm	13.67968448223891	11.902284978385325	15.667158668074343	108
