layer	condition	metric	mean	ci_low	ci_high	n
11	locally_corrupted:alpha=1	rescue_logp	-0.6245623658652659	-0.6616467512799082	-0.5868081568360881	108
11	locally_corrupted:alpha=1	residual_norm	0.6774810042094301	0.622892598759521	0.7355290371924639	108
13	counterfactual_rationale:alpha=1	control_logp	-0.628333514901223	-0.6655755138335129	-0.5901977763545734	108
13	counterfactual_rationale:alpha=1	correct_logp	-0.6233305743447056	-0.6604435592337891	-0.5853481011430699	108
13	counterfactual_rationale:alpha=1	necessity_change	0.004086988529673329	0.002044859049082906	0.006158814731019513	108
13	counterfactual_rationale:alpha=1	necessity_logp	-0.6192435858150324	-0.6541485656604723	-0.583086746868988	108
13	counterfactual_rationale:alpha=1	paired_logp_gap	0.005002940556517354	-4.915432935511622e-05	0.0119193195986251	108
13	counterfactual_rationale:alpha=1	random_gain	0.0001281320496841713	-0.000992611733575662	0.0012362580539451702	108
13	counterfactual_rationale:alpha=1	rescue_gain	-0.0038126002031343953	-0.006140639308702062	-0.0012581184678883465	108
13	counterfactual_rationale:alpha=1	rescue_logp	-0.6321461151043574	-0.6713852478156763	-0.5955374631996232	108
13	counterfactual_rationale:alpha=1	residual_norm	1.6114589240815904	1.5098199565653447	1.7147335935866943	108
13	dependency_swap:alpha=1	control_logp	-0.6650551456820082	-0.7052542507682961	-0.624892968725827	108
13	dependency_swap:alpha=1	correct_logp	-0.6233305743447056	-0.6613237766686965	-0.5860235444442543	108
13	dependency_swap:alpha=1	necessity_change	-0.0027745068073272705	-0.008376112628590178	0.0017481096675274529	108
13	dependency_swap:alpha=1	necessity_logp	-0.6261050811520329	-0.6627835844574427	-0.5888065317300736	108
13	dependency_swap:alpha=1	paired_logp_gap	0.04172457133730253	0.030511063834031422	0.05366484453832661	108
13	dependency_swap:alpha=1	random_gain	0.0007367127195552543	-0.0007760910489768894	0.002230247223956716	108
13	dependency_swap:alpha=1	rescue_gain	-0.0014680378414966442	-0.005505632240049265	0.002644686387092976	108
13	dependency_swap:alpha=1	rescue_logp	-0.6665231835235048	-0.7044791928768434	-0.6258643719057243	108
13	dependency_swap:alpha=1	residual_norm	2.1926489044670707	2.00118288345359	2.384811556325466	108
13	locally_corrupted:alpha=1	control_logp	-0.6236817029615244	-0.6597984440762688	-0.5863339401850546	108
13	locally_corrupted:alpha=1	correct_logp	-0.6233305743447056	-0.6597234817049293	-0.5860188786285343	108
13	locally_corrupted:alpha=1	necessity_change	0.0012138636299857386	-0.00024204595290400365	0.0027396260243323103	108
13	locally_corrupted:alpha=1	necessity_logp	-0.62211671071472	-0.658217084042176	-0.5866977016751965	108
13	locally_corrupted:alpha=1	paired_logp_gap	0.00035112861681867527	-0.002781837450823298	0.004129968183460058	108
13	locally_corrupted:alpha=1	random_gain	-6.55853913889991e-05	-0.000877314095419866	0.0008482771477213606	108
13	locally_corrupted:alpha=1	rescue_gain	-0.0009765939580069648	-0.002695220526031874	0.0008879222562191653	108
13	locally_corrupted:alpha=1	rescue_logp	-0.6246582969195313	-0.6605611233972013	-0.5882842578580258	108
13	locally_corrupted:alpha=1	residual_norm	0.8624856151916362	0.788327925114168	0.9405832578048662	108
15	counterfactual_rationale:alpha=1	control_logp	-0.628333514901223	-0.6660089448922211	-0.5906082063706385	108
15	counterfactual_rationale:alpha=1	correct_logp	-0.6233305743447056	-0.6620090483135923	-0.5844344954178841	108
15	counterfactual_rationale:alpha=1	necessity_change	0.0033792883709624962	0.0011243949023385844	0.005695533738644033	108
15	counterfactual_rationale:alpha=1	necessity_logp	-0.6199512859737432	-0.654857693284888	-0.5838373148537896	108
15	counterfactual_rationale:alpha=1	paired_logp_gap	0.005002940556517354	-0.00020809971416989957	0.012095464721184085	108
15	counterfactual_rationale:alpha=1	random_gain	0.001381779158556903	0.00018441169005301264	0.00260083640546158	108
15	counterfactual_rationale:alpha=1	rescue_gain	-0.0034762929987024378	-0.006040292257374083	-0.0007402263409285645	108
15	counterfactual_rationale:alpha=1	rescue_logp	-0.6318098078999255	-0.6691209606550358	-0.5943116784268232	108
15	counterfactual_rationale:alpha=1	residual_norm	1.8849984465373888	1.764319656216712	2.00102806834297	108
15	dependency_swap:alpha=1	control_logp	-0.6650551456820082	-0.7032208910694829	-0.6254030763068135	108
15	dependency_swap:alpha=1	correct_logp	-0.6233305743447056	-0.6599607177389165	-0.5845744133168074	108
15	dependency_swap:alpha=1	necessity_change	-0.0034195301985299148	-0.009448568867864432	0.0015953762077346978	108
15	dependency_swap:alpha=1	necessity_logp	-0.6267501045432355	-0.6629603152301301	-0.588886003865412	108
15	dependency_swap:alpha=1	paired_logp_gap	0.04172457133730253	0.030941362554828326	0.05340284983524017	108
15	dependency_swap:alpha=1	random_gain	0.00037795457023161427	-0.0012202813876447853	0.0018435329474784702	108
15	dependency_swap:alpha=1	rescue_gain	-0.0010103089389977631	-0.00547288900103282	0.003326056383688138	108
15	dependency_swap:alpha=1	rescue_logp	-0.666065454621006	-0.708422658737335	-0.6267409951012168	108
15	dependency_swap:alpha=1	residual_norm	2.6665775784187846	2.4316336165078813	2.9153971799476825	108
15	locally_corrupted:alpha=1	control_logp	-0.6236817029615244	-0.6600673817408581	-0.5868454191971708	108
15	locally_corrupted:alpha=1	correct_logp	-0.6233305743447056	-0.6610831599544595	-0.587917524986659	108
15	locally_corrupted:alpha=1	necessity_change	0.0011612157578821535	-0.0003167055236796538	0.0027687342871946315	108
15	locally_corrupted:alpha=1	necessity_logp	-0.6221693585868235	-0.6576466401280077	-0.5838628882714719	108
15	locally_corrupted:alpha=1	paired_logp_gap	0.00035112861681867527	-0.0027953811127830433	0.0042396707839711945	108
15	locally_corrupted:alpha=1	random_gain	-0.00031197664362412914	-0.0011997014008186483	0.0006259095372149233	108
15	locally_corrupted:alpha=1	rescue_gain	-0.0009425511514699017	-0.0027887141918418582	0.001138831995841529	108
15	locally_corrupted:alpha=1	rescue_logp	-0.6246242541129943	-0.6580943670848177	-0.5874705191253237	108
15	locally_corrupted:alpha=1	residual_norm	1.0541361512409315	0.9585298138774104	1.1644263030340274	108
17	counterfactual_rationale:alpha=1	control_logp	-0.628333514901223	-0.6633696170523762	-0.589847073176255	108
17	counterfactual_rationale:alpha=1	correct_logp	-0.6233305743447056	-0.6604010266665784	-0.5853835296644657	108
17	counterfactual_rationale:alpha=1	necessity_change	0.00466385069820616	0.0020268553798949277	0.007321870613291308	108
17	counterfactual_rationale:alpha=1	necessity_logp	-0.6186667236464994	-0.6562091649337499	-0.5820528984276785	108
17	counterfactual_rationale:alpha=1	paired_logp_gap	0.005002940556517354	-0.00016441046501751297	0.012161031658588735	108
17	counterfactual_rationale:alpha=1	random_gain	-0.0011192085566344085	-0.004137000496740694	0.0010963790739576017	108
